Table A-1. Rankings of 2010 U.S. midterm candidates based on Twitter voter-candidate engagement indicators,,,,,,,,,,,,,,,
Rank,Number of followers,,,Number of @mentions,,,Number of retweets,,,Number of @mentions per tweet,,,Number of retweets per tweet,,
,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score
147,Alvin Greene (D),S,873,Barbara Mikulski (D),S,155,David Schweikert (R),H,88,Dan Lungren (R),H,2.35,John Callahan (D),H,1.42
148,Cedric Richmond (D),H,848,Raul Labrador (R),H,147,Matt Zeller (D),H,87,Terry Bransrad (R),G,2.30,Bill Haslam (R),G,1.41
149,Bryan Lentz (D),H,846,Roy Barnes (D),G,146,John Carney (D),H,82,Scott Heidepriem (D),G,2.27,Joe Heck (R),H,1.41
150,Ben Quayle (R),H,843,Robert Bentley (R),G,145,Nan Hayworth (R),H,82,Tom Foley (R),G,2.27,Chad Causey (D),H,1.39
151,Ami Bera (D),H,831,Michael Pompeo (R),H,143,Bob Gibbs (R),H,81,Colleen Hanabusa (D),H,2.25,David Mckinley (R),H,1.36
152,Tom Perriello (D),H,808,Rory Reid (D),G,142,Mike Lee (R),S,79,Steve Stivers (R),H,2.25,Harold Johnson (R),H,1.35
153,Suzan DelBene (D),H,791,Tom Ganley (R),H,139,Randy Hultgren (R),H,77,Dan Maffei (D),H,2.23,Brian Dubie (R),G,1.35
154,Sandy Adams (R),H,778,Jon Hulburd (D),H,137,Suzan DelBene (D),H,77,Diane Denish (D),G,2.23,Lincoln Chafee (I),G,1.33
155,Lisa Murkowski (3),S,758,Wally Pang (I),H,136,Cedric Richmond (D),H,76,Scott DesJarlais (R),H,2.23,Scott DesJarlais (R),H,1.33
156,Mike Kelly (R),H,745,Tom Marino (R),H,136,Brad Zaun (R),H,76,Charlie Melancon (D),S,2.22,Bryan Lentz (D),H,1.31
157,Dina Titus (D),H,735,Alan Nunnelee (R),H,135,Baron Hill (D),H,75,Lisa Murkowski (3),S,2.22,Harry Teague (D),H,1.28
158,Dennis Ross (R),H,718,Ryan L. Frazier (R),H,133,Ethan Berkowitz (D),G,74,Elaine Marshall (D),S,2.21,Randy Altschuler (R),H,1.27
159,Keith Ellison (D),H,718,Mike Fitzpatrick (R),H,132,Steve Pearce (R),H,74,Nan Hayworth (R),H,2.20,Jim Keet (R),G,1.26
160,Bill Hedrick (D),H,712,Jim Renacci (R),H,131,Bill Hedrick (D),H,72,Chris Gibson (R),H,2.20,Lisa Murkowski (3),S,1.23
161,John Raese (R),S,697,Roxanne Conlin (D),S,130,Len Britton (R),S,69,Matt Mead (R),G,2.19,Baron Hill (D),H,1.23
162,Joe Manchin (D),S,696,Ed Potosnak (D),H,125,Robert Hurt (R),H,68,Joe Walsh (R),H,2.16,John Carney (D),H,1.22
163,Steve Stivers (R),H,689,Cedric Richmond (D),H,122,Jim Huffman (R),S,68,Dan Benishek (R),H,2.16,Mary Fallin (R),G,1.20
164,Chet Culver (D),G,680,Baron Hill (D),H,122,Charlie Bass (R),H,67,Joe J. DioGuardi (R),S,2.15,Gabrielle Giffords (D),H,1.19
